taxonID hash,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,introduction pathway 1,introduction pathway 2,introduction pathway 3,introduction pathway 4,introduction pathway 5,introduction pathway 6,introduction pathway 7,date first observation,date last observation,source,occurrence remarks,native range,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by
55f8a871a14a4768b5418c4cd77fd40b,Physella acuta,Animalia,Animalia,Mollusca,,,,species,,Madeira,PT,,,,otherTransport,,,,,,,1881,,"De Oliveira, A., 2009. Materiais para o estudo da Malacofauna não-marinha de Portugal. 4. Revisão das espécies aquáticas introduzidas. Noticiario SEM 52, 31-37.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
55f8a871a14a4768b5418c4cd77fd40b,Physella acuta,Animalia,Animalia,Mollusca,,,,species,,Azores,PT,,,,otherTransport,,,,,,,1881,,"Furtado, F.d.A., 1881. A propósito da distribuição dos Molluscos terrestres nos Açores. Era Nova 1, 267-283.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
55f8a871a14a4768b5418c4cd77fd40b,Physella acuta,Animalia,Animalia,Mollusca,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,1881,,"Morelet, A., 1845. Description des mollusques terrestres et fluviatiles du Portugal, par Arthur Morelet. J.-B. Baillière; [etc., etc.], Paris.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
f34480779591bd6f51e54676c85998de,Pisidium casertanum,Animalia,Animalia,Mollusca,,,,species,,Azores,PT,,,,otherTransport,,,,,,,,,"Guerne, J.d., 1887. Notes sur la faune des Açores. Le Naturaliste 9, 194-195.",,Cosmopolitan,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
48993511f6b4806e75e327edb561f8ad,Planorbarius corneus,Animalia,Animalia,Mollusca,,,,species,,Madeira,PT,,,,otherTransport,,,,,,,1991,,"De Oliveira, A., 2009. Materiais para o estudo da Malacofauna não-marinha de Portugal. 4. Revisão das espécies aquáticas introduzidas. Noticiario SEM 52, 31-37.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
ecb58bad3ee7a827c54e9b8c4890f1e5,Planorbella duryi,Animalia,Animalia,Mollusca,,,,species,,Madeira,PT,,,,otherTransport,,,,,,,2002,,"De Oliveira, A., 2009. Materiais para o estudo da Malacofauna não-marinha de Portugal. 4. Revisão das espécies aquáticas introduzidas. Noticiario SEM 52, 31-37.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
ecb58bad3ee7a827c54e9b8c4890f1e5,Planorbella duryi,Animalia,Animalia,Mollusca,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,2009,,"De Oliveira, A., 2009. Materiais para o estudo da Malacofauna não-marinha de Portugal. 4. Revisão das espécies aquáticas introduzidas. Noticiario SEM 52, 31-37.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
892599dcf435e7bac72cbecf553d81dc,Planorbella trivolvis,Animalia,Animalia,Mollusca,,,,species,,Azores,PT,,,,ornamentalNonHorticulture,,,,,,,1960,,"Backhuys, W., 1975. Zoogeography and taxonomy of the land and freshwater molluscs of the Azores. Backhuys & Meesters, Amsterdam.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
dedfc4db712063102f022beb7a51eb6e,Potamopyrgus antipodarum,Animalia,Animalia,Mollusca,,,,species,,Mainland,PT,,,,otherTransport,,,,,,,1961,,"Heuss, K., 1961. Potamopyrgus jenkinsi (E. A. SMITH) in Portugal. Arch. Molluskenk. 90, 249 - 249.",,Oceania,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
ad6ef633d9bc18930d8894c8e33e9f3a,Procambarus clarkii,Animalia,Animalia,Arthropoda,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1979,,"Ramos, M.A., Pereira, T.M., 1981. Um novo astacidae para a fauna portuguesa:  Procambarus clarkii  (Girard, 1952). Boletim do Instituto Nacional de Investigaçao das Pescas 6, 37-47.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
ad6ef633d9bc18930d8894c8e33e9f3a,Procambarus clarkii,Animalia,Animalia,Arthropoda,,,,species,,Azores,PT,,,,ornamentalNonHorticulture,,,,,,,1993,,"Correia, A., Costa, A.C., 1994. Introduction of the red swamp crayfish, Procambarus clarkii (Crustacea: Decapoda) in São Miguel, Azores, Portugal. . Arquipelago. Life and Marine Sciences 12, 67-73.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
48f1bfe51eaa10e4e6dc86f6f6a1e307,Protopolystoma xenopodis,Animalia,Animalia,Platyhelminthes,,,,species,,Mainland,PT,,,,parasitesOnAnimals,,,,,,,2013,,"Rodrigues, R.A.E., 2014. Macroparasites of invasive Xenopus laevis (Amphibia: Anura): characterization and assessment of possible exchanges with native Pelophylax perezi in Oeiras streams, Portugal, Departamento de Biologia Animal. Universidade de Lisboa, p. 51.",,Africa,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
3827453e03468558ea4b21a077769675,Pseudemys concinna,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,ornamentalNonHorticulture,,,,,,,2012,,"Martins, B.H., Azevedo, F., Teixeira, J., 2018. First reproduction report of Trachemys scripta in Portugal Ria Formosa Natural Park, Algarve. Limnética 37, 61-67.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
f0264f1339bbc794dcaa34dc99d6a76a,Pseudemys nelsoni,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,ornamentalNonHorticulture,,,,,,,2012,,"Martins, B.H., Azevedo, F., Teixeira, J., 2018. First reproduction report of Trachemys scripta in Portugal Ria Formosa Natural Park, Algarve. Limnética 37, 61-67.",,North America,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
6f324938a43c9e5cf6f7c6f6dc52d30c,Pseudochondrostoma polylepis,Animalia,Animalia,Chordata,,,,species,,Mainland,PT,,,,fisheryInTheWild,,,,,,,1997,,"Lourenço, R.M.V., 2004. Repovoamentos Piscícolas em Portugal Continental desde o século XIX. Instituto Superior de Agronomia, Universidade Técnica de Lisboa, Lisbon.",,Europe,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
793d520b66493806a1a2ef2e5781d662,Pseudodactylogyrus anguillae,Animalia,Animalia,Platyhelminthes,,,,species,,Mainland,PT,,,,parasitesOnAnimals,,,,,,,1988,,"Santos, J., 2018. Guia de Invertebrados das águas doces. Apresentação. Esponjas, Cnidários, Briozoários. Alamargem.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
7fd4b48abb8d674661dd63d2a626fd44,Pseudodactylogyrus bini,Animalia,Animalia,Platyhelminthes,,,,species,,Mainland,PT,,,,parasitesOnAnimals,,,,,,,1989,,"Saraiva, A., 1995. Pseudodactylogyrus anguillae (Yin & Sproston, 1948) Gussev, 1965 and P. bini (Kikuchi, 1929) Gussev, 1965 (Monogenea: Monopisthocotylea) in Portugal. Bulletin-European Association of Fish Pathologists 15, 81-81.",,Asia,,,TRUE,,,,2025-11-26,Pedro M. Anastácio,
