taxonID,description,type,language
alien-freshwater-fauna-portugal:taxon:c390be62a3b8f3a071151ef5fa06e286,Asia,native range,en
alien-freshwater-fauna-portugal:taxon:cab16bdde0402702535d82014c391c19,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:d5028a9aef3ac5374515871a2f025ba0,North America,native range,en
alien-freshwater-fauna-portugal:taxon:dedfc4db712063102f022beb7a51eb6e,Oceania,native range,en
alien-freshwater-fauna-portugal:taxon:e58494023038cb61dddb58320bb408f0,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:e822d74e1907cdb22ca4e2f95cc710da,Africa,native range,en
alien-freshwater-fauna-portugal:taxon:e975246316af170f7457fa4e20f1b197,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:eafd7e89ce84549834243caf67f0b7e9,Europe,native range,en
alien-freshwater-fauna-portugal:taxon:ecb58bad3ee7a827c54e9b8c4890f1e5,North America,native range,en
alien-freshwater-fauna-portugal:taxon:ee4d1f39a2070973657d905c5c06d273,Africa,native range,en
alien-freshwater-fauna-portugal:taxon:f0264f1339bbc794dcaa34dc99d6a76a,North America,native range,en
alien-freshwater-fauna-portugal:taxon:f34480779591bd6f51e54676c85998de,Cosmopolitan,native range,en
alien-freshwater-fauna-portugal:taxon:f979db9939f00bbacdebcb483135b503,Europe,native range,en
